u,g,r,i,class
21.56795,21.52187,21.13519,21.17609,1
25.89417,23.1729,21.45626,20.34622,0
23.50447,22.07193,20.44423,19.61865,0
21.98972,20.88191,19.26819,18.55082,0
24.62157,21.45333,19.66073,18.85231,0
25.1093,21.13836,19.8287,19.06776,0
25.73747,21.33814,19.42252,18.48529,0
16.96466,16.08031,15.55332,15.16042,0
23.1526,22.56098,20.95999,19.75838,0
20.06275,17.97889,16.7541,16.28635,0
18.68872,16.67637,15.69528,15.268,0
24.97202,24.41423,22.08561,21.55925,0
21.68158,21.17632,21.10896,20.98014,1
24.4593,22.48532,20.98118,19.78359,1
22.72095,23.17826,20.95014,19.6773,0
23.23128,21.45683,19.54242,18.87535,0
25.15787,23.76707,23.05294,21.2333,0
19.88843,19.75998,19.65091,19.63572,1
19.22127,18.89125,18.77551,18.64375,1
19.2069,17.57562,16.51169,16.00991,0
23.07471,23.03132,21.29062,20.02984,0
25.00014,22.01657,20.77574,19.84935,0
19.27454,17.89281,17.22188,16.80159,0
22.7732,22.71394,21.85914,21.3394,0
22.82083,22.69738,22.17571,21.5612,0
23.32006,21.26305,19.48546,18.71157,0
18.95101,17.49336,16.98946,16.83429,2
19.79291,18.46646,17.95433,17.77887,2
20.30552,19.86924,19.59601,19.32831,1
21.24145,19.81859,19.46297,19.2667,2
20.00457,18.62643,17.5798,17.06867,0
23.13416,22.23646,20.66232,19.71697,0
21.29262,22.11469,21.21139,19.75376,0
21.79432,21.43184,20.4117,19.39751,1
21.98354,21.67733,20.53368,19.68838,0
22.31733,19.77322,18.22813,17.60012,0
21.89082,21.45706,21.27173,21.18303,1
19.03688,17.77208,17.22694,17.00828,2
22.88479,23.20234,22.25354,20.75298,0
21.85144,21.21134,20.00644,19.26682,0
19.4133,18.33678,17.67662,17.26303,0
20.39584,19.71195,19.50802,19.51389,1
18.56529,17.64078,17.24995,17.10404,2
24.25059,18.96529,17.56103,16.99354,0
24.59292,21.43092,20.07493,18.97442,2
23.62046,22.68113,23.89268,21.79831,0
24.68645,22.63096,20.90887,19.87243,0
23.9188,20.87381,19.35272,18.81091,2
24.76785,24.11772,22.03849,20.8144,0
22.70922,20.8528,18.98933,18.31854,0
22.66286,21.82493,20.87815,19.9278,0
22.15897,20.76554,20.66686,20.52393,2
26.44692,21.89963,19.76572,19.10525,0
25.94283,22.25543,20.63024,19.58946,0
26.83779,22.05194,20.47149,19.60169,0
22.90951,22.60206,21.56881,20.75868,0
22.43314,20.05962,18.29554,17.62918,0
20.84887,20.27891,20.21787,20.28791,1
24.10556,21.54979,20.4519,19.59073,2
23.83055,22.89172,21.76476,20.94061,0
23.20872,23.66559,21.79273,20.12383,0
27.16486,20.21205,18.55799,17.90797,0
25.56209,21.49968,19.54955,18.92353,0
24.39606,20.80774,19.02999,18.33486,0
20.50751,19.46084,18.76047,18.3034,0
18.65297,17.10257,16.31899,15.87711,0
19.05938,17.57685,17.09509,16.75525,0
22.73596,22.51808,22.18846,21.7672,1
21.4281,19.2064,17.75415,17.19814,0
20.11526,18.25729,17.20468,16.77188,0
20.11847,18.14779,17.17198,16.74862,0
23.11764,21.11512,19.33245,18.65325,0
24.21667,22.25502,20.6385,19.69814,0
25.58833,22.70446,21.73393,20.52768,0
22.91037,22.69157,22.11891,21.78776,0
22.82882,21.0374,19.41936,18.78851,0
21.06539,21.08206,20.54379,20.67609,1
19.28338,17.53712,16.7281,16.32265,0
22.29008,20.41182,18.75838,18.18537,0
19.624,18.03556,16.98292,16.42615,0
22.39199,21.47337,21.07907,20.81239,1
17.70671,16.48556,16.03044,15.872,2
21.10217,20.71082,20.44927,20.40355,1
21.29851,21.04818,20.68341,20.54244,1
22.76363,22.30827,22.18311,21.76735,1
20.96592,20.97726,20.94626,20.64334,1
24.54726,23.38116,22.05099,18.91644,2
18.50882,16.67776,15.88844,15.50315,0
23.40868,24.58809,22.48084,21.74477,0
20.25485,18.3574,17.99783,17.98551,2
25.81813,22.51831,20.83332,19.78042,0
21.15942,18.89552,17.60169,17.08837,0
22.16146,22.99171,22.16154,20.77608,0
23.86698,21.60108,19.80958,18.84918,0
18.12367,16.28018,15.41415,15.01561,0
25.145,20.85361,20.0186,19.64,2
19.54333,17.46419,16.29144,15.81024,0
25.25697,24.19629,21.41078,20.15512,0
19.57571,17.5941,16.52634,16.04977,0
23.71107,22.39379,20.74644,19.66773,0
25.00198,23.11789,22.43975,21.29501,1
22.22021,21.05091,19.19382,18.53996,0
22.80719,22.08643,21.60446,21.5464,2
22.56665,21.55973,21.42649,21.27302,1
22.28132,22.17448,20.59644,19.79961,0
26.41319,22.15509,20.67092,19.7605,2
22.19338,20.8887,19.10749,18.44308,0
22.454,21.94839,20.24227,19.11054,0
21.00248,19.42874,18.0421,17.50617,0
19.59602,17.63315,16.53565,16.08111,0
20.48247,18.55832,17.51839,17.08421,0
22.71783,22.1595,20.52743,19.65559,0
21.67397,20.94035,20.71315,20.3842,1
23.28498,21.05354,19.59221,18.60595,2
23.12724,22.43365,21.73447,21.15406,0
23.24846,22.44502,20.8376,19.81536,0
20.43288,19.45664,19.07316,18.94541,2
22.35982,21.26509,19.42787,18.74381,0
24.42985,18.11649,17.26259,17.71632,0
19.79645,18.17392,17.33331,16.88921,0
23.78646,21.50192,19.63928,18.98367,0
20.899,18.91558,17.67874,17.17493,0
22.6121,23.11847,22.56821,20.88755,0
25.4663,22.31317,20.80744,18.99136,2
23.65132,22.16732,21.89089,21.39499,0
22.56986,23.45326,21.75059,20.68024,0
19.38691,17.96079,17.32889,17.07317,2
20.48994,18.49736,17.19362,16.71013,0
23.41949,22.10062,20.83376,20.03002,0
23.37152,21.30158,19.90008,19.32057,0
23.71871,22.42347,20.64191,19.79643,0
24.58678,24.46593,22.82553,21.62336,1
22.97042,20.86156,19.52112,18.68268,0
25.13461,23.40632,22.7102,21.40669,1
19.63125,17.98072,17.12994,16.73799,0
24.24,21.92323,20.11684,19.29541,0
20.16565,18.36946,17.48145,17.09859,0
22.08704,19.72497,18.19754,17.65555,0
23.02883,23.36355,21.62231,20.28504,0
20.96024,18.76216,17.58801,17.04034,0
25.18027,22.86155,20.79616,19.79048,0
25.10174,23.06618,22.557,21.52077,0
24.83632,23.67016,21.63371,20.54181,0
22.56936,21.05738,21.07297,21.04822,2
24.03803,21.66905,20.8673,20.09047,0
24.83085,21.43642,19.39903,18.68086,0
25.61548,21.39351,19.58171,18.74323,0
23.37487,21.82744,20.28831,19.44607,0
21.7886,19.63243,18.14623,17.57222,0
23.90734,23.18632,22.83821,21.63225,0
19.27775,17.70083,17.09348,16.69103,0
22.27039,23.8767,21.39552,20.26774,0
22.54692,21.53392,21.47066,20.97943,1
22.4175,20.73872,20.26263,20.10572,2
20.7604,19.23718,17.82825,17.31441,0
22.10328,21.92555,21.69067,21.98162,1
22.69967,21.45456,19.67879,18.87358,0
22.7568,20.93009,20.79676,20.93128,1
21.01361,20.71811,20.46232,20.40409,1
19.53551,17.68273,16.71167,16.23287,0
23.83581,23.31765,22.12361,20.71259,0
24.51002,21.00125,19.1723,18.54622,0
19.60991,19.32998,19.19413,18.93983,1
22.11725,21.55086,19.95307,18.89934,0
26.36151,23.50848,22.75484,21.07888,0
25.31584,22.76586,20.70736,19.79495,0
22.62137,22.41282,20.41756,19.18388,0
19.41436,17.52909,16.54816,16.11653,0
23.17074,23.63746,22.66252,22.52141,0
22.83766,20.71425,18.98909,18.35986,0
23.92797,22.29127,20.86446,19.44682,0
21.81111,21.6974,20.6735,19.57033,0
23.40639,22.94094,22.16487,21.22853,0
24.82749,20.34323,19.12561,18.58234,2
22.95447,21.0774,20.55662,20.34415,1
17.43713,16.14721,15.70351,15.52282,0
22.47388,21.70719,21.61994,21.39762,2
21.13853,19.90134,19.27378,19.05746,2
23.52547,22.87886,21.37714,20.35796,0
23.69933,23.44093,20.99336,19.77139,0
21.48309,19.09487,17.73637,17.20274,0
19.17406,18.21252,17.6546,17.42968,0
17.81819,17.41451,17.4757,17.40724,1
23.34356,21.79336,20.11856,19.32193,0
22.84848,21.48714,20.8385,20.58113,0
19.75693,17.87804,16.96701,16.56668,0
22.79601,23.32781,22.41917,21.64272,0
24.96328,22.8239,20.94845,19.64035,0
22.77464,21.74609,21.85504,21.92592,1
23.50841,21.80207,21.60566,21.85112,1
22.46279,20.41471,18.80522,18.16691,0
24.20955,23.44299,20.61624,19.35762,0
23.45107,22.68611,22.87647,21.55799,0
26.12356,23.81821,21.9786,20.57105,0
26.06626,22.89339,21.13788,19.96379,0
23.41424,22.07593,20.38661,19.49797,0
18.96543,17.71033,17.01655,16.63465,0
21.77925,20.0107,18.42021,17.86638,0
24.80751,21.31117,19.42198,18.74799,0
21.206,19.18186,17.83653,17.31091,0
18.83314,17.17159,16.50847,16.25446,2
25.5777,23.31997,21.40303,20.36905,2
24.3683,22.53482,22.0968,21.07134,0
19.00943,17.98547,17.64243,17.36496,0
23.7056,21.72409,20.38836,19.72128,0
20.67826,20.18382,20.03542,19.85044,1
26.10664,24.00197,21.52485,20.35486,0
22.54503,22.80573,21.9628,20.77231,0
19.67174,18.46115,17.77336,17.40172,0
23.68057,20.68017,19.89845,19.48429,2
19.89547,19.62021,19.29997,19.22959,1
20.47094,18.60859,17.88211,17.59633,2
21.27081,21.31896,20.96941,20.95894,1
17.48383,16.34096,15.82576,15.59164,2
23.32836,21.60789,19.77479,18.91067,0
21.14313,19.97246,19.35656,19.10595,2
23.02254,22.01074,20.41629,19.31492,0
19.27139,17.50709,16.59691,16.2088,0
20.3212,18.44232,17.39133,16.84113,0
26.00617,22.35579,20.78008,19.85566,0
21.50137,20.00717,18.37879,17.81149,0
18.77781,18.60556,18.48884,18.22985,1
22.30284,21.06746,19.41835,18.63383,0
17.56954,15.64554,14.89235,14.63359,2
25.05691,23.42472,21.82528,20.616,0
19.90628,17.97893,17.11652,16.71767,0
23.60686,22.44145,20.81019,19.90243,0
19.86134,18.21495,17.17869,16.66892,0
22.49892,23.87281,21.25685,20.05237,0
20.05213,20.06299,20.0988,19.7839,1
24.66697,22.50132,20.72109,19.87993,0
22.73998,20.02231,18.39417,17.76149,0
22.8451,23.058,21.28909,20.49209,0
22.18023,21.71885,20.29672,19.25496,0
24.56467,21.5502,20.29033,19.53975,0
20.9621,18.83786,17.50851,16.89248,0
25.16733,22.86155,21.12228,19.92016,0
22.43317,21.55346,19.65192,18.74809,0
19.42096,19.25484,18.99208,19.02769,1
24.14066,21.65608,19.44619,18.61998,0
21.41066,19.25123,17.86983,17.31308,0
23.37185,22.1791,20.42522,19.50096,0
21.67611,20.76549,19.04048,18.28124,0
24.03398,21.63045,20.0075,19.17545,0
23.99352,22.94656,21.72903,20.532,0
19.19234,17.658,16.77064,16.33491,0
24.33932,21.875,20.02271,19.19226,0
17.75985,15.81423,14.90736,14.48727,0
22.66346,19.76641,18.30627,17.73982,0
20.61647,18.72079,17.42674,16.89155,0
24.45046,20.81212,18.91856,18.28078,0
19.22952,18.09769,17.77046,17.59021,0
25.58434,21.60864,19.90677,19.09178,0
20.51873,20.20638,20.21569,19.80753,1
21.88256,21.55099,21.3771,21.31117,1
22.59135,20.5454,19.10692,18.17493,2
23.79713,22.26661,20.34293,19.4929,0
22.58904,21.70035,20.73013,19.86282,0
20.86609,18.9593,17.74938,17.25766,0
18.858,17.79022,17.41329,17.10297,0
22.89553,22.7123,22.10661,21.49924,0
26.16889,23.91788,21.94958,20.78144,0
23.56445,21.01187,19.47783,18.56565,2
22.59072,20.63957,18.82594,18.22041,0
25.99977,22.59749,20.90382,19.97529,0
22.47215,21.91675,20.43345,19.49465,0
26.03595,22.92491,22.02455,20.67198,0
26.51218,22.49687,21.92923,22.11838,1
19.49174,17.98816,17.23223,16.79241,0
24.91118,22.10831,20.13658,18.91252,0
26.26783,22.77534,20.95301,19.78276,0
22.9368,24.60572,22.25064,20.89134,0
24.39371,22.42409,21.67752,20.79871,0
22.96862,21.69707,20.67831,19.64295,2
23.53299,22.10877,20.28676,19.3528,0
24.70283,22.33459,20.53897,19.52479,0
21.58138,21.20605,19.3393,18.66537,0
21.70847,21.25675,20.30685,19.26745,0
23.05693,21.73839,21.62845,21.56287,2
22.13902,21.45761,21.61663,21.56292,1
22.51727,22.18239,20.25807,19.31052,0
24.56808,23.55933,22.95602,21.57531,0
20.81306,18.90036,17.59827,17.08834,0
19.81429,18.49925,17.62144,17.14492,0
18.26101,16.19948,15.37064,15.04637,2
26.04782,22.39552,20.59328,19.50705,0
26.26923,21.67016,20.02096,19.11871,0
24.27135,24.2255,22.49268,21.07232,2
24.27044,21.69652,20.77456,20.10801,1
20.47756,18.62512,17.73417,17.32958,0
19.63504,17.73838,16.77139,16.33075,0
22.41986,21.53756,21.08427,21.7834,0
21.42885,21.02341,20.52487,20.59163,1
20.80291,18.82817,17.53895,17.04641,0
22.00369,21.79999,21.74243,21.71099,0
22.33831,22.04607,22.25981,22.09889,1
21.13731,20.02798,19.70991,19.6315,2
20.02493,17.81603,16.81763,16.35495,0
24.16115,21.02876,19.2947,18.64817,0
23.97927,22.54664,20.47654,19.61266,0
18.66021,17.51186,17.0628,16.79228,0
24.39658,22.67106,20.99865,19.92615,0
22.58106,22.04026,20.83457,19.7384,2
24.17703,22.43166,20.74827,19.92678,0
25.42744,21.8004,20.16859,19.23081,0
20.36806,19.401,19.06583,18.91326,2
20.02674,19.54689,19.12787,19.04249,1
25.31808,20.81494,19.02972,18.43189,0
23.1922,22.23682,20.56438,19.54756,0
22.18258,20.35624,19.56327,19.20953,2
19.21718,17.20134,16.23444,15.78002,0
17.8455,16.25663,15.53013,15.1297,0
18.27416,16.32,15.41089,14.99114,0
25.46499,23.61704,21.84731,20.76943,0
24.7552,19.83793,18.97273,18.68323,2
21.75958,21.36788,20.68954,20.53941,0
21.23156,19.05378,18.03956,17.67012,2
19.8078,18.7437,18.24179,18.00876,2
20.12043,19.48734,19.36383,19.31556,1
20.1632,18.26299,17.04118,16.58678,0
26.06642,21.75875,20.11151,19.33575,0
24.52977,22.36972,20.45921,19.62884,0
20.7768,20.13627,19.81709,19.5514,1
21.12344,21.22907,21.12411,20.8729,1
22.27257,21.61404,21.32984,21.32461,1
25.70457,21.95172,20.80947,19.84112,0
22.81359,21.24593,19.80105,19.03748,0
23.40175,21.93437,20.29692,19.31177,0
19.96465,18.67083,17.52877,17.11241,1
24.87313,22.45773,21.07946,20.24592,0
26.7228,22.5669,20.44396,19.37062,0
21.83772,21.67904,21.63948,21.6811,1
19.81457,18.29216,17.30181,16.79302,0
22.36334,21.6466,21.53089,21.46142,1
23.41644,23.05205,22.15027,21.36819,0
18.49019,17.23142,17.01336,16.94974,2
